index,id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
7680,61998,2018-12-21 17:47:00,Owner Deceased,0,C18121753,981020029034752,Master Charming,Domestic Medium Hair,Black and Tan,Cat,1 year 5 months.,Male,Adoptable Cat Small Colony,2019-01-07 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7681,61999,2018-12-21 17:56:21,Moving,0,D18121754,985113000418851,Luna,Bully Breed Mix,Black and White,Dog,2 years 0 months.,Female,Adoptable Dogs,2018-12-27 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7682,62000,2018-12-21 18:33:08,Moving,0,C18121755,981020029052020,Nell,Domestic Short Hair,Black,Cat,10 months.,Female,Adoptable Cat Middle Colony,2018-12-30 00:00:00,Foster,0.0,2019-01-17 00:00:00,Stray,,Court Order/ Legal,0,0,0
7683,62000,2018-12-21 18:33:08,Moving,0,C18121755,981020029052020,Nell,Domestic Short Hair,Black,Cat,10 months.,Female,Adoptable Cat Middle Colony,2019-01-19 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7684,62001,2018-12-21 18:33:08,Moving,0,C18121756,981020027777047,Pachi,Domestic Short Hair,Black and grey,Cat,10 months.,Male,Adoptable Cat Middle Colony,2018-12-30 00:00:00,Foster,0.0,2019-01-17 00:00:00,Stray,,Court Order/ Legal,0,0,0
7685,62001,2018-12-21 18:33:08,Moving,0,C18121756,981020027777047,Pachi,Domestic Short Hair,Black and grey,Cat,10 months.,Male,Adoptable Cat Middle Colony,2019-01-19 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7686,62002,2018-12-21 19:52:40,Police Assist,0,D1812806,,Mae,Beagle,Tricolour,Dog,14 years 0 months.,Female,Dog room A,2018-12-22 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7687,62004,2018-12-22 13:25:42,Landlord issues,0,C18121757,,Riley,Domestic Short Hair,Orange,Cat,6 months.,Male,Adoptable Cat Glass Colony,2019-01-05 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7688,62006,2018-12-23 13:08:27,Incompatible with owner lifestyle,0,C18121758,981020029061887,Tank,Domestic Short Hair,Black and Brown,Cat,4 years 2 months.,Male,Adoptable Cat Kennels,2019-01-07 00:00:00,Adoption,0.0,2019-01-14 00:00:00,Incompatible with other pets,,Court Order/ Legal,0,0,0
7689,62006,2018-12-23 13:08:27,Incompatible with owner lifestyle,0,C18121758,981020029061887,Tank,Domestic Short Hair,Black and Brown,Cat,4 years 2 months.,Male,Adoptable Cat Kennels,2019-01-16 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7690,62007,2018-12-23 14:01:09,Stray,0,C18121747,981020029727867,Jessie,Domestic Short Hair,Tortie,Cat,9 months.,Female,Adoptable Cat Kennels,2019-01-31 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
